Date,sentiment_score
2021-09-30,0.24647999999999998
2021-10-01,0.35933750000000003
2021-10-02,-0.000699999999999997
2021-10-03,0.8344
2021-10-04,0.25865
2021-10-05,0.045499999999999985
2021-10-06,0.1943
2021-10-07,0.2763
2021-10-08,0.3972
2021-10-09,0.0
2021-10-10,0.4469600000000001
2021-10-11,-0.7184
2021-10-12,0.13225714285714285
2021-10-13,0.068575
2021-10-14,0.36525555555555556
2021-10-15,0.019457142857142864
2021-10-16,0.16918333333333332
2021-10-17,0.2802375
2021-10-18,0.061642857142857145
2021-10-19,0.3220875
2021-10-20,0.09723333333333332
2021-10-21,-0.07101666666666667
2021-10-22,-0.05655833333333332
2021-10-23,0.194875
2021-10-24,0.20829999999999996
2021-10-25,-0.04370714285714285
2021-10-26,0.14376250000000002
2021-10-27,0.17536250000000003
2021-10-28,-0.0014500000000000094
2021-10-29,0.14044687500000003
2021-10-30,0.4034
2021-10-31,0.6356166666666667
2021-11-01,0.3739363636363636
2021-11-02,0.3366142857142857
2021-11-03,0.2607285714285715
2021-11-04,0.34393333333333337
2021-11-05,0.27975
2021-11-06,0.33588
2021-11-07,0.25279090909090907
2021-11-08,0.19964285714285715
2021-11-09,0.34475
2021-11-10,0.3347
2021-11-11,0.360925
2021-11-12,0.48143
2021-11-13,0.27148000000000005
2021-11-14,0.2465142857142857
2021-11-15,0.14945714285714282
2021-11-16,0.3687714285714286
2021-11-17,0.25953333333333334
2021-11-18,0.1977888888888889
2021-11-19,0.2295210526315789
2021-11-20,0.34359999999999996
2021-11-21,0.32064285714285706
2021-11-22,0.4638
2021-11-23,0.33449999999999996
2021-11-24,0.40950000000000003
2021-11-25,0.2567333333333333
2021-11-26,-0.13005000000000003
2021-11-27,0.3654
2021-11-28,0.178875
2021-11-29,0.5532600000000001
2021-11-30,0.13598
2021-12-01,0.1570625
2021-12-02,0.61015
2021-12-03,0.2399
2021-12-04,0.479825
2021-12-05,0.14662000000000003
2021-12-06,0.1636714285714286
2021-12-07,0.3371363636363637
2021-12-08,0.212975
2021-12-09,0.3205142857142857
2021-12-10,-0.2361285714285714
2021-12-11,-0.045933333333333326
2021-12-12,0.057940000000000005
2021-12-13,0.20495
2021-12-14,-0.03745
2021-12-15,0.2494444444444444
2021-12-16,0.3009307692307692
2021-12-17,0.20380000000000004
2021-12-18,0.20404285714285716
2021-12-19,0.539825
2021-12-20,0.14735555555555557
2021-12-21,0.2222
2021-12-22,0.1563285714285714
2021-12-23,0.4318857142857143
2021-12-24,0.17878
2021-12-25,0.24614999999999998
2021-12-26,0.36081818181818187
2021-12-27,0.2049909090909091
2021-12-28,0.12326666666666668
2021-12-29,0.10137499999999999
2021-12-30,0.20063076923076922
2021-12-31,0.39136153846153854
2022-01-01,0.3593916666666666
2022-01-02,0.0821125
2022-01-03,0.0965
2022-01-04,0.30022727272727273
2022-01-05,0.11667692307692307
2022-01-06,-0.014939999999999986
2022-01-07,0.28131666666666666
2022-01-08,0.13311818181818183
2022-01-09,-0.142125
2022-01-10,0.37724545454545455
2022-01-11,0.34583333333333327
2022-01-12,0.3050538461538462
2022-01-13,0.66338
2022-01-14,0.19174444444444444
2022-01-15,0.49405000000000004
2022-01-16,0.666775
2022-01-17,0.04835
2022-01-18,0.49072857142857146
2022-01-19,0.25810999999999995
2022-01-20,-0.24954285714285712
2022-01-21,0.124525
2022-01-22,0.1612333333333333
2022-01-23,0.26065
2022-01-24,0.24373999999999998
2022-01-25,0.33988124999999997
2022-01-26,0.29864
2022-01-27,0.18938461538461537
2022-01-28,0.24370833333333333
2022-01-29,0.11695833333333333
2022-01-30,0.25193999999999994
2022-01-31,0.39540666666666674
2022-02-01,0.23992903225806447
2022-02-02,-0.15109599999999998
2022-02-03,0.0885599118942732
2022-02-04,0.12388300000000002
2022-02-05,0.38896250000000004
2022-02-06,0.041949999999999994
2022-02-07,0.14417368421052634
2022-02-08,0.25313636363636366
2022-02-09,0.28315
2022-02-10,0.2464666666666667
2022-02-11,0.1921909090909091
2022-02-12,0.27397272727272726
2022-02-13,0.3067
2022-02-14,0.119675
2022-02-15,0.25853333333333334
2022-02-16,0.2983357142857143
2022-02-17,0.4146384615384615
2022-02-18,0.3107384615384615
2022-02-19,0.06452857142857142
2022-02-20,0.08696666666666668
2022-02-21,0.05449999999999999
2022-02-22,0.31482
2022-02-23,0.03828571428571429
2022-02-24,0.12252
2022-02-25,0.42473
2022-02-26,0.21719999999999998
2022-02-27,0.064275
2022-02-28,-0.034466666666666666
2022-03-01,0.4272
2022-03-02,0.16687999999999997
2022-03-03,0.487225
2022-03-04,0.15746153846153849
2022-03-05,0.56045
2022-03-06,0.4375
2022-03-07,0.05226923076923077
2022-03-08,-0.122425
2022-03-09,0.176103125
2022-03-10,0.36677
2022-03-11,0.03240769230769231
2022-03-12,-0.15235
2022-03-13,0.451925
2022-03-14,0.319525
2022-03-15,0.5194
2022-03-16,0.2304222222222222
2022-03-17,0.3797600000000001
2022-03-18,0.25305555555555553
2022-03-19,0.2629909090909091
2022-03-20,0.17796666666666663
2022-03-21,-0.057566666666666676
2022-03-22,0.29491111111111107
2022-03-23,0.4124666666666667
2022-03-24,0.4937
2022-03-25,0.19188
2022-03-26,0.2647428571428571
2022-03-27,0.42684999999999995
2022-03-28,-0.1165
2022-03-29,0.19341875000000003
2022-03-30,0.8308
2022-03-31,0.22982
2022-04-01,-0.017353846153846157
2022-04-02,0.5777333333333333
2022-04-03,0.20345
2022-04-04,0.3081
2022-04-05,0.24831818181818183
2022-04-06,0.09139166666666665
2022-04-07,-0.03267500000000001
2022-04-08,0.22965555555555556
2022-04-09,0.32121428571428573
2022-04-10,0.1900833333333333
2022-04-11,0.09057499999999999
2022-04-12,0.2825625
2022-04-13,0.2146777777777778
2022-04-14,0.27375
2022-04-15,0.14714
2022-04-16,0.29107
2022-04-17,-0.039224999999999996
2022-04-18,0.22018888888888888
2022-04-19,-0.20852857142857142
2022-04-20,0.035036363636363616
2022-04-21,0.14866428571428572
2022-04-22,0.25478124999999996
2022-04-23,0.04496428571428573
2022-04-24,0.32558571428571426
2022-04-25,-0.04467999999999999
2022-04-26,0.07557142857142855
2022-04-27,0.18336153846153846
2022-04-28,0.060229203539823035
2022-04-29,0.1069469135802469
2022-04-30,0.12471000000000002
2022-05-01,0.3358333333333334
2022-05-02,0.11467619047619047
2022-05-03,0.0066307692307692265
2022-05-04,-0.09291875000000005
2022-05-05,0.10576923076923077
2022-05-06,-0.008293333333333326
2022-05-07,0.1454272727272727
2022-05-08,-0.09897500000000001
2022-05-09,0.19223684210526318
2022-05-10,0.09913636363636363
2022-05-11,0.06547857142857143
2022-05-12,0.18911499999999998
2022-05-13,0.37295384615384614
2022-05-14,0.20566
2022-05-15,0.17201
2022-05-16,0.2329125
2022-05-17,0.30114545454545455
2022-05-18,0.020294736842105265
2022-05-19,-0.17528666666666665
2022-05-20,0.4193818181818182
2022-05-21,0.2142666666666667
2022-05-22,0.01574285714285714
2022-05-23,0.13920833333333335
2022-05-24,0.1922470588235294
2022-05-25,0.21153000000000005
2022-05-26,0.16086666666666663
2022-05-27,0.3347608695652174
2022-05-28,-0.16456666666666667
2022-05-29,0.13394999999999999
2022-05-30,0.19675
2022-05-31,0.12675294117647057
2022-06-01,0.06701052631578944
2022-06-02,0.18632857142857143
2022-06-03,0.1191142857142857
2022-06-04,0.20544285714285712
2022-06-05,0.2587
2022-06-06,0.2131804878048781
2022-06-07,0.11275454545454545
2022-06-08,0.29010833333333336
2022-06-09,0.10421249999999999
2022-06-10,0.3066071428571429
2022-06-11,-0.055762500000000007
2022-06-12,-0.06768000000000002
2022-06-13,0.1990466666666667
2022-06-14,0.18464
2022-06-15,0.14201999999999998
2022-06-16,0.12542727272727275
2022-06-17,0.16433333333333333
2022-06-18,0.29934000000000005
2022-06-19,-0.09396666666666668
2022-06-20,0.4627333333333333
2022-06-21,0.21231999999999998
2022-06-22,0.6025
2022-06-23,0.2317875
2022-06-24,0.29005000000000003
2022-06-25,0.2553
2022-06-26,-0.044774999999999995
2022-06-27,0.34098
2022-06-28,0.18191428571428572
2022-06-29,-0.01333333333333332
2022-06-30,0.18047777777777774
2022-07-01,-0.19525555555555554
2022-07-02,0.06677499999999997
2022-07-03,-0.14809999999999998
2022-07-04,0.2557333333333333
2022-07-05,0.31523333333333337
2022-07-06,0.17221999999999998
2022-07-07,0.04405714285714284
2022-07-08,0.35070909090909097
2022-07-09,0.2452
2022-07-10,0.07965000000000001
2022-07-11,0.31771875
2022-07-12,0.20072
2022-07-13,0.4878333333333334
2022-07-14,0.25911666666666666
2022-07-15,0.3584
2022-07-16,0.0
2022-07-17,0.5917833333333333
2022-07-18,0.19308999999999998
2022-07-19,0.392725
2022-07-20,0.39666666666666667
2022-07-21,0.2512750000000001
2022-07-22,0.07139166666666669
2022-07-23,0.09342222222222223
2022-07-24,0.16752222222222224
2022-07-25,0.256
2022-07-26,-0.02221052631578947
2022-07-27,0.2672
2022-07-28,0.1484288659793814
2022-07-29,0.32803846153846156
2022-07-30,0.22665
2022-07-31,0.25894
2022-08-01,0.2422818181818182
2022-08-02,0.21520000000000003
2022-08-03,0.26573571428571424
2022-08-04,0.45128749999999995
2022-08-05,0.3561933333333333
2022-08-06,0.48355
2022-08-07,-0.09813333333333334
2022-08-08,0.2554111111111111
2022-08-09,0.32835000000000003
2022-08-10,0.19227692307692307
2022-08-11,0.24193333333333333
2022-08-12,0.14254666666666668
2022-08-13,0.0998666666666667
2022-08-14,0.19369999999999998
2022-08-15,0.5369714285714285
2022-08-16,0.21935333333333334
2022-08-17,0.022425000000000014
2022-08-18,0.6192666666666667
2022-08-19,0.17518333333333333
2022-08-20,0.022500000000000006
2022-08-21,0.26660000000000006
2022-08-22,0.14723750000000002
2022-08-23,0.32234999999999997
2022-08-24,0.31281818181818183
2022-08-25,0.2208375
2022-08-26,0.21155000000000002
2022-08-27,0.06156666666666666
2022-08-28,0.3086857142857143
2022-08-29,0.2487125
2022-08-30,0.16603333333333334
2022-08-31,0.56154
2022-09-01,0.2396375
2022-09-02,0.08464999999999999
2022-09-03,0.21221666666666664
2022-09-04,0.534
2022-09-05,0.14007142857142857
2022-09-06,0.28324
2022-09-07,0.08020999999999999
2022-09-08,0.09682
2022-09-09,0.4377
2022-09-10,0.4369
2022-09-11,0.58655
2022-09-12,0.2006
2022-09-13,0.20165714285714284
2022-09-14,0.13082222222222217
2022-09-15,0.04204000000000001
2022-09-16,0.20787777777777774
2022-09-17,0.33231428571428573
2022-09-18,0.2414
2022-09-19,0.25494
2022-09-20,0.08441250000000002
2022-09-21,-0.07606666666666667
2022-09-22,0.3594
2022-09-23,-0.104025
2022-09-24,0.1872
2022-09-25,0.22586666666666666
2022-09-26,-0.06871428571428574
2022-09-27,-0.0967
2022-09-28,0.39452
2022-09-29,0.11765
